,,Tier,,CPU,Price/ HR,Price/Month,CPU,Default Dynamic Assumption,5%
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-1,8-16 CPU / 64GB RAM,1.346952,983.27,,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-1,16-32 CPU / 128 GB RAM,2.693904,"1,966.55",,,
Dynamic Postgres,Compute,Performance,US-EAST-2,1-2 CPU / 8GB RAM,0.12,87.60,,,
Dynamic Postgres,Compute,Performance,US-EAST-2,2-4 CPU/ 16 GB Ram,0.24,175.20,,,
Dynamic Postgres,Compute,Performance,US-EAST-2,4-8 CPU / 32 GB Ram,0.48,350.40,,,
Dynamic Postgres,Compute,Performance,US-EAST-2,8-16 CPU / 64GB RAM,0.96,700.80,,,
Dynamic Postgres,Compute,Performance,US-EAST-2,16-32 CPU / 128 GB RAM,1.92,"1,401.60",,,
Enterprise Tier,,Performance,,,,"2,000.00",,,
Production Support,,Performance,,,,"1,041.67",,,
TimeSeries,Connection Poolers,Performance,US-EAST-1,,0.03,21.90,,,
TimeSeries,Connection Poolers,Performance,EU-WEST-1,,0.03,21.90,,,
TimeSeries,Connection Poolers,Performance,EU-CENTRAL-1,,0.03,21.90,,,
TimeSeries,Connection Poolers,Performance,AP-SOUTHEAST-2,,0.03,21.90,,,
TimeSeries,Connection Poolers,Performance,US-EAST-2,,0.03,21.90,,,
TimeSeries,Connection Poolers,Performance,AP-SOUTHEAST-1,,0.03,21.90,,,
TimeSeries,Connection Poolers,Performance,US-WEST-2,,0.03,21.90,,,
TimeSeries,VPC,Performance,US-EAST-1,,0.03,21.90,,,
TimeSeries,VPC,Performance,EU-WEST-1,,0.03,21.90,,,
TimeSeries,VPC,Performance,EU-CENTRAL-1,,0.03,21.90,,,
TimeSeries,VPC,Performance,AP-SOUTHEAST-2,,0.03,21.90,,,
TimeSeries,VPC,Performance,US-EAST-2,,0.03,21.90,,,
TimeSeries,VPC,Performance,AP-SOUTHEAST-1,,0.03,21.90,,,
TimeSeries,VPC,Performance,US-WEST-2,,0.03,21.90,,,
Dynamic Postgres,Connnection Poolers,Performance,US-EAST-1,,0.03,21.90,,,
Dynamic Postgres,Connnection Poolers,Performance,EU-WEST-1,,0.03,21.90,,,
Dynamic Postgres,Connnection Poolers,Performance,EU-CENTRAL-1,,0.03,21.90,,,
Dynamic Postgres,Connnection Poolers,Performance,AP-SOUTHEAST-2,,0.03,21.90,,,
Dynamic Postgres,Connnection Poolers,Performance,US-EAST-2,,0.03,21.90,,,
Dynamic Postgres,Connnection Poolers,Performance,AP-SOUTHEAST-1,,0.03,21.90,,,
Dynamic Postgres,Connnection Poolers,Performance,US-WEST-2,,0.03,21.90,,,
Dynamic Postgres,VPC,Performance,US-EAST-1,,0.03,21.90,,,
Dynamic Postgres,VPC,Performance,EU-WEST-1,,0.03,21.90,,,
Dynamic Postgres,VPC,Performance,EU-CENTRAL-1,,0.03,21.90,,,
Dynamic Postgres,VPC,Performance,AP-SOUTHEAST-2,,0.03,21.90,,,
Dynamic Postgres,VPC,Performance,US-EAST-2,,0.03,21.90,,,
Dynamic Postgres,VPC,Performance,AP-SOUTHEAST-1,,0.03,21.90,,,
Dynamic Postgres,VPC,Performance,US-WEST-2,,0.03,21.90,,,
TimeSeries,Data Tiering,Performance,US-EAST-1,,0.00002876712329,0.02,,,
TimeSeries,Data Tiering,Performance,EU-WEST-1,,0.00002876712329,0.02,,,
TimeSeries,Data Tiering,Performance,EU-CENTRAL-1,,0.00002876712329,0.02,,,
TimeSeries,Data Tiering,Performance,AP-SOUTHEAST-2,,0.00002876712329,0.02,,,
TimeSeries,Data Tiering,Performance,US-EAST-2,,0.00002876712329,0.02,,,
TimeSeries,Data Tiering,Performance,AP-SOUTHEAST-1,,0.00002876712329,0.02,,,
TimeSeries,Data Tiering,Performance,US-WEST-2,,0.00002876712329,0.02,,,
TimeSeries,Data Tiering,Performance,EU-West-2,,0.00002876712329,0.02,,,
TimeSeries,VPC,Performance,EU-West-2,,0.03,21.90,,,
TimeSeries,Connnection Poolers,Performance,EU-West-2,,0.03,21.90,,,
TimeSeries,Storage,Performance,EU-West-2,,0.001212,0.88,,,
TimeSeries,Compute,Performance,eu-west-2,0.5CPU/ 2GB RAM,$0.06,46.03,,,
TimeSeries,Compute,Performance,eu-west-2,1CPU/ 4GB RAM,$0.30,216.08,,,
TimeSeries,Compute,Performance,eu-west-2,2CPU/ 8GB Ram,$0.59,432.16,,,
TimeSeries,Compute,Performance,eu-west-2,4CPU/ 16GB Ram,$1.18,864.32,,,
TimeSeries,Compute,Performance,eu-west-2,8CPU/ 32GB RAM,$2.37,"1,728.64",,,
TimeSeries,Compute,Performance,eu-west-2,16CPU/ 64GB RAM,$4.74,"3,457.28",,,
TimeSeries,Compute,Performance,eu-west-2,32CPU/ 128GB RAM,$9.47,"6,914.56",,,
Dynamic Postgres,Compute,Performance,eu-west-2,1-2 CPU / 8GB RAM,$0.16,114.58,,,
Dynamic Postgres,Compute,Performance,eu-west-2,2-4 CPU/ 16 GB Ram,$0.31,229.17,,,
Dynamic Postgres,Compute,Performance,eu-west-2,4-8 CPU / 32 GB Ram,$0.63,458.33,,,
Dynamic Postgres,Compute,Performance,eu-west-2,8-16 CPU / 64GB RAM,$1.26,916.67,,,
Dynamic Postgres,Compute,Performance,eu-west-2,16-32 CPU / 128 GB RAM,$2.51,"1,833.33",,,
TimeSeries,Data Tiering,Performance,AP-Northeast-1,,0.00002876712329,0.02,,,
TimeSeries,VPC,Performance,AP-Northeast-1,,0.03,21.90,,,
TimeSeries,Connnection Poolers,Performance,AP-Northeast-1,,0.03,21.90,,,
TimeSeries,Storage,Performance,AP-Northeast-1,,0.001212,0.88,,,
TimeSeries,Compute,Performance,AP-Northeast-1,0.5CPU/ 2GB RAM,$0.07,51.41,,,
TimeSeries,Compute,Performance,AP-Northeast-1,1CPU/ 4GB RAM,$0.33,241.39,,,
TimeSeries,Compute,Performance,AP-Northeast-1,2CPU/ 8GB Ram,$0.66,482.77,,,
TimeSeries,Compute,Performance,AP-Northeast-1,4CPU/ 16GB Ram,$1.32,965.55,,,
TimeSeries,Compute,Performance,AP-Northeast-1,8CPU/ 32GB RAM,$2.65,"1,931.09",,,
TimeSeries,Compute,Performance,AP-Northeast-1,16CPU/ 64GB RAM,$5.29,"3,862.19",,,
TimeSeries,Compute,Performance,AP-Northeast-1,32CPU/ 128GB RAM,$10.58,"7,724.37",,,
Dynamic Postgres,Compute,Performance,AP-Northeast-1,1-2 CPU / 8GB RAM,$0.18,128.00,,,
Dynamic Postgres,Compute,Performance,AP-Northeast-1,2-4 CPU/ 16 GB Ram,$0.35,256.01,,,
Dynamic Postgres,Compute,Performance,AP-Northeast-1,4-8 CPU / 32 GB Ram,$0.70,512.01,,,
